id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
021E,02,1E,0,416,2,414,405,9,inf,0.004807692307692308,0.9951923076923077,0.9735576923076923,0.021634615384615384
021F,02,1F,0,327,1,326,324,2,inf,0.0030581039755351682,0.9969418960244648,0.9908256880733946,0.0061162079510703364
021G,02,1G,0,474,0,474,470,4,inf,0.0,1.0,0.9915611814345991,0.008438818565400843
021H,02,1H,0,368,0,368,358,10,inf,0.0,1.0,0.9728260869565217,0.02717391304347826
021I,02,1I,0,332,0,332,320,12,inf,0.0,1.0,0.963855421686747,0.03614457831325301
021J,02,1J,0,437,0,437,418,19,inf,0.0,1.0,0.9565217391304348,0.043478260869565216
021K,02,1K,0,437,1,436,428,8,inf,0.002288329519450801,0.9977116704805492,0.9794050343249427,0.018306636155606407
021L,02,1L,0,780,1,779,771,8,inf,0.001282051282051282,0.9987179487179487,0.9884615384615385,0.010256410256410256
021M,02,1M,0,666,0,666,653,13,inf,0.0,1.0,0.9804804804804805,0.01951951951951952
021N,02,1N,0,505,1,504,492,12,inf,0.0019801980198019802,0.998019801980198,0.9742574257425742,0.023762376237623763
021O,02,1O,0,530,1,529,513,16,inf,0.0018867924528301887,0.9981132075471698,0.9679245283018868,0.03018867924528302
021P,02,1P,0,460,1,459,453,6,inf,0.002173913043478261,0.9978260869565218,0.9847826086956522,0.013043478260869565
02101,02,101,1945,236,3,233,225,8,0.12133676092544987,0.012711864406779662,0.9872881355932204,0.9533898305084746,0.03389830508474576
02102,02,102,933,123,3,120,116,4,0.13183279742765272,0.024390243902439025,0.975609756097561,0.943089430894309,0.032520325203252036
02103,02,103,786,103,0,103,103,0,0.13104325699745548,0.0,1.0,1.0,0.0
02104,02,104,945,142,1,141,137,4,0.15026455026455027,0.007042253521126761,0.9929577464788732,0.9647887323943662,0.028169014084507043
02105,02,105,3595,770,0,770,761,9,0.2141863699582754,0.0,1.0,0.9883116883116884,0.011688311688311689
02106,02,106,2596,639,0,639,631,8,0.24614791987673343,0.0,1.0,0.9874804381846636,0.012519561815336464
02107,02,107,1397,386,0,386,379,7,0.2763063707945598,0.0,1.0,0.9818652849740933,0.018134715025906734
02108,02,108,3889,909,3,908,896,12,0.23373617896631524,0.0033003300330033004,0.9988998899889989,0.9856985698569857,0.013201320132013201
02109,02,109,928,272,0,272,265,7,0.29310344827586204,0.0,1.0,0.9742647058823529,0.025735294117647058
02110,02,110,2419,585,1,584,575,9,0.24183546920214966,0.0017094017094017094,0.9982905982905983,0.9829059829059829,0.015384615384615385
02111,02,111,2360,596,0,596,590,6,0.25254237288135595,0.0,1.0,0.9899328859060402,0.010067114093959731
02112,02,112,2569,585,0,587,579,8,0.22771506422732582,0.0,1.0034188034188034,0.9897435897435898,0.013675213675213675
02113,02,113,1281,163,0,162,152,10,0.12724434035909446,0.0,0.9938650306748467,0.9325153374233128,0.06134969325153374
02114,02,114,915,153,0,153,148,5,0.16721311475409836,0.0,1.0,0.9673202614379085,0.032679738562091505
02115,02,115,1989,321,0,321,318,3,0.16138763197586728,0.0,1.0,0.9906542056074766,0.009345794392523364
02116,02,116,924,136,1,135,130,5,0.1471861471861472,0.007352941176470588,0.9926470588235294,0.9558823529411765,0.03676470588235294
02117,02,117,2942,509,0,509,489,20,0.17301155676410604,0.0,1.0,0.9607072691552063,0.03929273084479371
02118,02,118,915,198,0,198,192,6,0.21639344262295082,0.0,1.0,0.9696969696969697,0.030303030303030304
02119,02,119,1122,298,0,298,294,4,0.26559714795008915,0.0,1.0,0.9865771812080537,0.013422818791946308
02120,02,120,3245,884,0,884,878,6,0.2724191063174114,0.0,1.0,0.9932126696832579,0.006787330316742082
02121,02,121,1148,300,0,300,299,1,0.2613240418118467,0.0,1.0,0.9966666666666667,0.0033333333333333335
02122,02,122,1046,246,0,246,243,3,0.23518164435946462,0.0,1.0,0.9878048780487805,0.012195121951219513
02123,02,123,1953,551,0,551,544,7,0.2821300563236047,0.0,1.0,0.9872958257713249,0.012704174228675136
02124,02,124,2407,602,1,601,599,2,0.2501038637307852,0.0016611295681063123,0.9983388704318937,0.9950166112956811,0.0033222591362126247
