address,district_id,district_name,electoral_district_type,electoral_district_id,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a1_percentage,eligible_voters_a2,eligible_voters_a2_percentage,eligible_voters_a3,eligible_voters_a3_percentage,voters,voters_percentage,voters_with_voting_license,voters_with_voting_license_percentage,valid_votes,valid_votes_percentage,invalid_votes,invalid_votes_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_die_partei,party_die_partei_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_mera25,party_mera25_percentage,party_volt,party_volt_percentage,party_piraten,party_piraten_percentage,party_familie,party_familie_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_big,party_big_percentage,party_verjüngungsforschung,party_verjüngungsforschung_percentage,party_pdh,party_pdh_percentage,party_heimat,party_heimat_percentage,party_dkp,party_dkp_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_bündnis_c,party_bündnis_c_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_abg,party_abg_percentage,party_die_basis,party_die_basis_percentage,party_bündnis_deutschand,party_bündnis_deutschand_percentage,party_bsw,party_bsw_percentage,party_dawa,party_dawa_percentage,party_klimaliste,party_klimaliste_percentage,party_letzte_generation,party_letzte_generation_percentage,party_pdv,party_pdv_percentage,party_pdf,party_pdf_percentage,party_v_partei3,party_v_partei3_percentage,aufn
03W323,03,Pankow,W,323,033N,3,76,O,1149,633,55.1,516,44.9,0,0.0,436,37.9,9,2.1,433,99.3,3,0.7,137,31.6,38,8.8,62,14.3,41,9.5,25,5.8,21,4.8,16,3.7,7,1.6,9,2.1,29,6.7,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,22,5.1,10,2.3,1,0.2,2,0.5,0,0.0,6,1.4,0,0.0,
03W324,03,Pankow,W,324,033F,3,76,O,946,574,60.7,372,39.3,0,0.0,303,32.0,3,1.0,302,99.7,1,0.3,66,21.9,28,9.3,48,15.9,16,5.3,46,15.2,11,3.6,4,1.3,4,1.3,1,0.3,24,7.9,1,0.3,0,0.0,1,0.3,3,1.0,0,0.0,1,0.3,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,40,13.2,1,0.3,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,
03W325,03,Pankow,W,325,033D,3,76,O,1062,726,68.4,336,31.6,0,0.0,393,37.0,5,1.3,388,98.7,5,1.3,66,17.0,52,13.4,58,14.9,33,8.5,63,16.2,23,5.9,7,1.8,12,3.1,2,0.5,13,3.4,0,0.0,1,0.3,3,0.8,0,0.0,1,0.3,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1,0.3,3,0.8,41,10.6,0,0.0,0,0.0,2,0.5,1,0.3,2,0.5,0,0.0,
03W326,03,Pankow,W,326,033M,3,76,O,1189,722,60.7,467,39.3,0,0.0,451,37.9,1,0.2,448,99.3,3,0.7,141,31.5,34,7.6,49,10.9,42,9.4,27,6.0,18,4.0,17,3.8,13,2.9,9,2.0,42,9.4,1,0.2,1,0.2,1,0.2,4,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.9,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,31,6.9,0,0.0,1,0.2,6,1.3,0,0.0,5,1.1,0,0.0,
03B3A,03,Pankow,B,3A,033A,3,76,O,0,0,0.0,0,0.0,0,0.0,947,0.0,947,100.0,946,99.9,1,0.1,157,16.6,202,21.4,113,11.9,56,5.9,119,12.6,18,1.9,41,4.3,20,2.1,3,0.3,34,3.6,5,0.5,6,0.6,2,0.2,6,0.6,1,0.1,0,0.0,1,0.1,2,0.2,0,0.0,0,0.0,4,0.4,3,0.3,0,0.0,0,0.0,0,0.0,1,0.1,2,0.2,135,14.3,5,0.5,0,0.0,6,0.6,1,0.1,3,0.3,0,0.0,
03B3B,03,Pankow,B,3B,033B,3,76,O,0,0,0.0,0,0.0,0,0.0,754,0.0,754,100.0,748,99.2,6,0.8,161,21.5,89,11.9,94,12.6,62,8.3,60,8.0,39,5.2,24,3.2,22,2.9,4,0.5,39,5.2,3,0.4,4,0.5,4,0.5,4,0.5,11,1.5,1,0.1,1,0.1,3,0.4,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.3,100,13.4,3,0.4,0,0.0,11,1.5,0,0.0,2,0.3,0,0.0,
03B3C,03,Pankow,B,3C,033C,3,76,O,0,0,0.0,0,0.0,0,0.0,657,0.0,657,100.0,653,99.4,4,0.6,70,10.7,110,16.8,94,14.4,66,10.1,95,14.5,20,3.1,14,2.1,18,2.8,3,0.5,21,3.2,0,0.0,4,0.6,2,0.3,8,1.2,2,0.3,0,0.0,1,0.2,3,0.5,1,0.2,1,0.2,3,0.5,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8,2,0.3,102,15.6,0,0.0,0,0.0,2,0.3,0,0.0,4,0.6,2,0.3,
03B3D,03,Pankow,B,3D,033D,3,76,O,0,0,0.0,0,0.0,0,0.0,705,0.0,705,100.0,701,99.4,4,0.6,113,16.1,106,15.1,104,14.8,69,9.8,72,10.3,36,5.1,27,3.9,16,2.3,0,0.0,35,5.0,1,0.1,5,0.7,2,0.3,3,0.4,7,1.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4,1,0.1,0,0.0,0,0.0,0,0.0,2,0.3,2,0.3,87,12.4,0,0.0,2,0.3,3,0.4,2,0.3,2,0.3,0,0.0,
03B3E,03,Pankow,B,3E,033E,3,76,O,0,0,0.0,0,0.0,0,0.0,769,0.0,769,100.0,769,100.0,0,0.0,204,26.5,136,17.7,94,12.2,62,8.1,55,7.2,24,3.1,29,3.8,16,2.1,4,0.5,29,3.8,5,0.7,3,0.4,1,0.1,3,0.4,2,0.3,1,0.1,0,0.0,2,0.3,0,0.0,1,0.1,2,0.3,3,0.4,0,0.0,0,0.0,1,0.1,1,0.1,1,0.1,77,10.0,0,0.0,1,0.1,4,0.5,1,0.1,5,0.7,2,0.3,
03B3F,03,Pankow,B,3F,033F,3,76,O,0,0,0.0,0,0.0,0,0.0,664,0.0,664,100.0,661,99.5,3,0.5,167,25.3,94,14.2,80,12.1,53,8.0,52,7.9,24,3.6,24,3.6,14,2.1,2,0.3,35,5.3,3,0.5,1,0.2,5,0.8,8,1.2,1,0.2,0,0.0,0,0.0,0,0.0,3,0.5,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,80,12.1,0,0.0,3,0.5,6,0.9,1,0.2,2,0.3,0,0.0,
03B3G,03,Pankow,B,3G,033G,3,76,O,0,0,0.0,0,0.0,0,0.0,959,0.0,959,100.0,957,99.8,2,0.2,255,26.6,98,10.2,119,12.4,98,10.2,76,7.9,41,4.3,24,2.5,15,1.6,5,0.5,47,4.9,6,0.6,2,0.2,2,0.2,5,0.5,7,0.7,0,0.0,3,0.3,2,0.2,1,0.1,3,0.3,2,0.2,1,0.1,0,0.0,0,0.0,1,0.1,1,0.1,4,0.4,120,12.5,0,0.0,3,0.3,11,1.1,2,0.2,3,0.3,0,0.0,
03B3H,03,Pankow,B,3H,033H,3,76,O,0,0,0.0,0,0.0,0,0.0,980,0.0,980,100.0,977,99.7,3,0.3,305,31.2,99,10.1,115,11.8,113,11.6,56,5.7,43,4.4,35,3.6,14,1.4,8,0.8,68,7.0,3,0.3,2,0.2,4,0.4,2,0.2,1,0.1,1,0.1,0,0.0,4,0.4,0,0.0,1,0.1,1,0.1,2,0.2,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,82,8.4,0,0.0,1,0.1,9,0.9,0,0.0,6,0.6,0,0.0,
03B3I,03,Pankow,B,3I,033I,3,76,O,0,0,0.0,0,0.0,0,0.0,1083,0.0,1083,100.0,1082,99.9,1,0.1,319,29.5,110,10.2,138,12.8,110,10.2,52,4.8,52,4.8,32,3.0,17,1.6,8,0.7,50,4.6,4,0.4,2,0.2,9,0.8,4,0.4,4,0.4,0,0.0,0,0.0,1,0.1,2,0.2,3,0.3,2,0.2,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,4,0.4,133,12.3,0,0.0,4,0.4,14,1.3,0,0.0,5,0.5,1,0.1,
03B3K,03,Pankow,B,3K,033K,3,76,O,0,0,0.0,0,0.0,0,0.0,1004,0.0,1004,100.0,1004,100.0,0,0.0,258,25.7,162,16.1,130,12.9,92,9.2,49,4.9,32,3.2,50,5.0,24,2.4,7,0.7,56,5.6,3,0.3,4,0.4,3,0.3,5,0.5,2,0.2,2,0.2,2,0.2,2,0.2,0,0.0,3,0.3,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,3,0.3,108,10.8,0,0.0,1,0.1,2,0.2,0,0.0,2,0.2,1,0.1,
03B3L,03,Pankow,B,3L,033L,3,76,O,0,0,0.0,0,0.0,0,0.0,1031,0.0,1031,100.0,1030,99.9,1,0.1,357,34.7,109,10.6,133,12.9,127,12.3,36,3.5,26,2.5,27,2.6,7,0.7,6,0.6,59,5.7,0,0.0,1,0.1,7,0.7,0,0.0,1,0.1,0,0.0,1,0.1,1,0.1,0,0.0,1,0.1,2,0.2,4,0.4,1,0.1,0,0.0,0,0.0,1,0.1,3,0.3,97,9.4,0,0.0,1,0.1,12,1.2,2,0.2,8,0.8,0,0.0,
03B3M,03,Pankow,B,3M,033M,3,76,O,0,0,0.0,0,0.0,0,0.0,1231,0.0,1231,100.0,1226,99.6,5,0.4,429,35.0,115,9.4,154,12.6,116,9.5,54,4.4,54,4.4,39,3.2,33,2.7,7,0.6,73,6.0,4,0.3,1,0.1,2,0.2,7,0.6,4,0.3,0,0.0,0,0.0,4,0.3,0,0.0,1,0.1,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,1,0.1,101,8.2,0,0.0,3,0.2,13,1.1,0,0.0,5,0.4,1,0.1,
03B3N,03,Pankow,B,3N,033N,3,76,O,0,0,0.0,0,0.0,0,0.0,904,0.0,904,100.0,902,99.8,2,0.2,334,37.0,71,7.9,109,12.1,102,11.3,27,3.0,27,3.0,23,2.5,21,2.3,6,0.7,75,8.3,3,0.3,2,0.2,2,0.2,2,0.2,0,0.0,0,0.0,1,0.1,3,0.3,0,0.0,0,0.0,1,0.1,1,0.1,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,65,7.2,0,0.0,2,0.2,16,1.8,2,0.2,5,0.6,0,0.0,
03W400,03,Pankow,W,400,034A,4,76,O,878,635,72.3,243,27.7,0,0.0,300,34.2,1,0.3,297,99.0,3,1.0,35,11.8,42,14.1,34,11.4,24,8.1,65,21.9,13,4.4,6,2.0,15,5.1,2,0.7,16,5.4,4,1.3,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,
03W401,03,Pankow,W,401,034A,4,76,O,1115,880,78.9,235,21.1,0,0.0,367,32.9,1,0.3,365,99.5,2,0.5,27,7.4,45,12.3,35,9.6,37,10.1,101,27.7,16,4.4,3,0.8,10,2.7,3,0.8,11,3.0,1,0.3,4,1.1,3,0.8,1,0.3,6,1.6,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,1,0.3,51,14.0,1,0.3,0,0.0,2,0.5,0,0.0,3,0.8,0,0.0,
03W402,03,Pankow,W,402,034B,4,76,O,1165,803,68.9,362,31.1,0,0.0,432,37.1,9,2.1,428,99.1,4,0.9,47,11.0,51,11.9,41,9.6,39,9.1,90,21.0,17,4.0,16,3.7,10,2.3,3,0.7,29,6.8,0,0.0,5,1.2,3,0.7,7,1.6,1,0.2,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,3,0.7,57,13.3,2,0.5,0,0.0,3,0.7,0,0.0,1,0.2,0,0.0,
03W403,03,Pankow,W,403,034C,4,76,O,1147,760,66.3,387,33.7,0,0.0,425,37.1,8,1.9,423,99.5,2,0.5,73,17.3,63,14.9,48,11.3,41,9.7,59,13.9,16,3.8,16,3.8,8,1.9,3,0.7,22,5.2,1,0.2,2,0.5,4,0.9,1,0.2,4,0.9,0,0.0,0,0.0,1,0.2,1,0.2,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,2,0.5,0,0.0,48,11.3,0,0.0,0,0.0,4,0.9,1,0.2,0,0.0,2,0.5,
03W404,03,Pankow,W,404,034D,4,76,O,919,631,68.7,288,31.3,0,0.0,383,41.7,8,2.1,381,99.5,2,0.5,109,28.6,45,11.8,37,9.7,26,6.8,35,9.2,16,4.2,5,1.3,7,1.8,2,0.5,42,11.0,1,0.3,1,0.3,1,0.3,2,0.5,1,0.3,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,4,1.0,0,0.0,37,9.7,0,0.0,3,0.8,1,0.3,0,0.0,3,0.8,0,0.0,
03W405,03,Pankow,W,405,034E,4,76,O,1335,997,74.7,338,25.3,0,0.0,413,30.9,4,1.0,409,99.0,4,1.0,48,11.7,47,11.5,47,11.5,40,9.8,90,22.0,23,5.6,8,2.0,11,2.7,1,0.2,12,2.9,5,1.2,5,1.2,4,1.0,2,0.5,3,0.7,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,3,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7,45,11.0,0,0.0,0,0.0,5,1.2,1,0.2,3,0.7,1,0.2,
03W406,03,Pankow,W,406,034F,4,76,O,1253,920,73.4,333,26.6,0,0.0,399,31.8,3,0.8,397,99.5,2,0.5,35,8.8,64,16.1,47,11.8,34,8.6,87,21.9,19,4.8,12,3.0,3,0.8,0,0.0,5,1.3,2,0.5,1,0.3,1,0.3,2,0.5,5,1.3,0,0.0,2,0.5,0,0.0,1,0.3,1,0.3,3,0.8,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3,2,0.5,61,15.4,0,0.0,1,0.3,2,0.5,0,0.0,4,1.0,1,0.3,
03W407,03,Pankow,W,407,034F,4,76,O,1345,1005,74.7,340,25.3,0,0.0,460,34.2,10,2.2,458,99.6,2,0.4,22,4.8,54,11.8,48,10.5,41,9.0,143,31.2,14,3.1,8,1.7,17,3.7,2,0.4,15,3.3,5,1.1,6,1.3,2,0.4,3,0.7,3,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2,0,0.0,2,0.4,62,13.5,0,0.0,1,0.2,4,0.9,0,0.0,3,0.7,0,0.0,
03W408,03,Pankow,W,408,034G,4,76,O,1292,1049,81.2,243,18.8,0,0.0,407,31.5,0,0.0,403,99.0,4,1.0,20,5.0,72,17.9,54,13.4,30,7.4,97,24.1,9,2.2,9,2.2,15,3.7,5,1.2,8,2.0,1,0.2,6,1.5,0,0.0,3,0.7,3,0.7,0,0.0,3,0.7,0,0.0,2,0.5,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,52,12.9,2,0.5,0,0.0,3,0.7,0,0.0,3,0.7,1,0.2,
03W409,03,Pankow,W,409,034G,4,76,O,1318,869,65.9,449,34.1,0,0.0,438,33.2,3,0.7,434,99.1,4,0.9,65,15.0,70,16.1,44,10.1,33,7.6,90,20.7,18,4.1,5,1.2,13,3.0,3,0.7,19,4.4,0,0.0,2,0.5,2,0.5,1,0.2,2,0.5,0,0.0,1,0.2,3,0.7,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,3,0.7,54,12.4,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,
03W410,03,Pankow,W,410,034E,4,76,O,1310,895,68.3,415,31.7,0,0.0,426,32.5,3,0.7,422,99.1,4,0.9,68,16.1,28,6.6,39,9.2,47,11.1,82,19.4,27,6.4,12,2.8,22,5.2,5,1.2,27,6.4,1,0.2,1,0.2,1,0.2,1,0.2,3,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,3,0.7,40,9.5,0,0.0,0,0.0,10,2.4,0,0.0,2,0.5,0,0.0,
03W411,03,Pankow,W,411,034B,4,76,O,1042,714,68.5,328,31.5,0,0.0,391,37.5,6,1.5,390,99.7,1,0.3,30,7.7,64,16.4,31,7.9,18,4.6,117,30.0,17,4.4,7,1.8,11,2.8,2,0.5,16,4.1,3,0.8,5,1.3,0,0.0,4,1.0,2,0.5,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,3,0.8,56,14.4,0,0.0,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,
03W412,03,Pankow,W,412,034B,4,76,O,1306,827,63.3,479,36.7,0,0.0,481,36.8,4,0.8,479,99.6,2,0.4,47,9.8,104,21.7,38,7.9,20,4.2,130,27.1,13,2.7,25,5.2,6,1.3,0,0.0,20,4.2,2,0.4,1,0.2,0,0.0,2,0.4,1,0.2,2,0.4,1,0.2,2,0.4,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,60,12.5,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,
03W413,03,Pankow,W,413,034H,4,76,O,1463,981,67.1,482,32.9,0,0.0,539,36.8,9,1.7,535,99.3,4,0.7,29,5.4,84,15.7,56,10.5,30,5.6,179,33.5,15,2.8,9,1.7,13,2.4,1,0.2,14,2.6,2,0.4,2,0.4,0,0.0,5,0.9,2,0.4,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,5,0.9,75,14.0,2,0.4,0,0.0,1,0.2,1,0.2,2,0.4,3,0.6,
03W414,03,Pankow,W,414,034H,4,76,O,1533,887,57.9,646,42.1,0,0.0,571,37.2,10,1.8,564,98.8,7,1.2,50,8.9,139,24.6,62,11.0,21,3.7,127,22.5,15,2.7,18,3.2,10,1.8,0,0.0,10,1.8,2,0.4,6,1.1,3,0.5,6,1.1,2,0.4,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,80,14.2,0,0.0,0,0.0,2,0.4,2,0.4,4,0.7,0,0.0,
03W415,03,Pankow,W,415,034I,4,76,O,1404,968,68.9,436,31.1,0,0.0,590,42.0,0,0.0,583,98.8,7,1.2,69,11.8,129,22.1,67,11.5,33,5.7,124,21.3,18,3.1,18,3.1,13,2.2,7,1.2,11,1.9,2,0.3,3,0.5,3,0.5,1,0.2,0,0.0,1,0.2,1,0.2,2,0.3,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,3,0.5,66,11.3,3,0.5,0,0.0,1,0.2,1,0.2,3,0.5,1,0.2,
03W416,03,Pankow,W,416,034C,4,76,O,1373,873,63.6,500,36.4,0,0.0,464,33.8,5,1.1,462,99.6,2,0.4,78,16.9,69,14.9,60,13.0,32,6.9,73,15.8,19,4.1,10,2.2,7,1.5,8,1.7,16,3.5,3,0.6,0,0.0,5,1.1,3,0.6,4,0.9,0,0.0,0,0.0,5,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,2,0.4,1,0.2,59,12.8,0,0.0,0,0.0,2,0.4,0,0.0,4,0.9,0,0.0,
03W417,03,Pankow,W,417,034K,4,76,O,1535,1099,71.6,436,28.4,0,0.0,426,27.8,1,0.2,424,99.5,2,0.5,41,9.7,54,12.7,79,18.6,20,4.7,109,25.7,15,3.5,7,1.7,9,2.1,5,1.2,10,2.4,0,0.0,2,0.5,1,0.2,2,0.5,5,1.2,1,0.2,0,0.0,3,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,54,12.7,1,0.2,0,0.0,0,0.0,0,0.0,2,0.5,2,0.5,
03W418,03,Pankow,W,418,034I,4,76,O,1450,1046,72.1,404,27.9,0,0.0,543,37.4,2,0.4,536,98.7,7,1.3,38,7.1,112,20.9,49,9.1,24,4.5,154,28.7,18,3.4,18,3.4,8,1.5,1,0.2,13,2.4,5,0.9,4,0.7,3,0.6,4,0.7,7,1.3,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,68,12.7,0,0.0,5,0.9,0,0.0,1,0.2,0,0.0,0,0.0,
03W419,03,Pankow,W,419,034A,4,76,O,1365,950,69.6,415,30.4,0,0.0,433,31.7,2,0.5,430,99.3,3,0.7,56,13.0,51,11.9,55,12.8,40,9.3,75,17.4,19,4.4,8,1.9,10,2.3,5,1.2,23,5.3,5,1.2,1,0.2,2,0.5,3,0.7,4,0.9,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,2,0.5,4,0.9,57,13.3,0,0.0,2,0.5,2,0.5,0,0.0,2,0.5,0,0.0,
03W420,03,Pankow,W,420,034D,4,76,O,1251,849,67.9,402,32.1,0,0.0,432,34.5,6,1.4,430,99.5,2,0.5,92,21.4,48,11.2,50,11.6,37,8.6,53,12.3,21,4.9,10,2.3,10,2.3,15,3.5,23,5.3,4,0.9,0,0.0,3,0.7,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7,2,0.5,45,10.5,0,0.0,1,0.2,6,1.4,1,0.2,2,0.5,0,0.0,
03W421,03,Pankow,W,421,034D,4,76,O,1000,737,73.7,263,26.3,0,0.0,366,36.6,2,0.5,366,100.0,0,0.0,37,10.1,44,12.0,60,16.4,38,10.4,74,20.2,15,4.1,7,1.9,9,2.5,2,0.5,11,3.0,3,0.8,1,0.3,2,0.5,0,0.0,2,0.5,0,0.0,0,0.0,3,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,14.2,0,0.0,0,0.0,4,1.1,0,0.0,2,0.5,0,0.0,
03W422,03,Pankow,W,422,034K,4,76,O,1176,796,67.7,380,32.3,0,0.0,373,31.7,8,2.1,372,99.7,1,0.3,52,14.0,63,16.9,31,8.3,30,8.1,67,18.0,15,4.0,10,2.7,10,2.7,0,0.0,13,3.5,0,0.0,2,0.5,3,0.8,4,1.1,2,0.5,1,0.3,0,0.0,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,4,1.1,1,0.3,62,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
03B4A,03,Pankow,B,4A,034A,4,76,O,0,0,0.0,0,0.0,0,0.0,826,0.0,826,100.0,824,99.8,2,0.2,132,16.0,105,12.7,114,13.8,78,9.5,73,8.9,37,4.5,22,2.7,30,3.6,11,1.3,35,4.2,7,0.8,7,0.8,1,0.1,1,0.1,5,0.6,0,0.0,1,0.1,2,0.2,0,0.0,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,5,0.6,134,16.3,0,0.0,4,0.5,4,0.5,1,0.1,10,1.2,1,0.1,
03B4B,03,Pankow,B,4B,034B,4,76,O,0,0,0.0,0,0.0,0,0.0,1055,0.0,1055,100.0,1053,99.8,2,0.2,147,14.0,196,18.6,147,14.0,50,4.7,126,12.0,35,3.3,48,4.6,30,2.8,2,0.2,36,3.4,4,0.4,8,0.8,4,0.4,16,1.5,6,0.6,1,0.1,1,0.1,1,0.1,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,2,0.2,2,0.2,4,0.4,163,15.5,0,0.0,4,0.4,5,0.5,3,0.3,9,0.9,1,0.1,
03B4C,03,Pankow,B,4C,034C,4,76,O,0,0,0.0,0,0.0,0,0.0,810,0.0,810,100.0,810,100.0,0,0.0,197,24.3,119,14.7,99,12.2,100,12.3,47,5.8,33,4.1,26,3.2,14,1.7,8,1.0,36,4.4,1,0.1,4,0.5,3,0.4,5,0.6,4,0.5,0,0.0,0,0.0,3,0.4,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,91,11.2,0,0.0,0,0.0,6,0.7,2,0.2,4,0.5,5,0.6,
03B4D,03,Pankow,B,4D,034D,4,76,O,0,0,0.0,0,0.0,0,0.0,839,0.0,839,100.0,838,99.9,1,0.1,224,26.7,106,12.6,107,12.8,80,9.5,50,6.0,33,3.9,25,3.0,17,2.0,7,0.8,50,6.0,3,0.4,2,0.2,4,0.5,5,0.6,2,0.2,1,0.1,2,0.2,2,0.2,0,0.0,2,0.2,2,0.2,0,0.0,1,0.1,0,0.0,0,0.0,1,0.1,1,0.1,97,11.6,0,0.0,5,0.6,5,0.6,2,0.2,2,0.2,0,0.0,
03B4E,03,Pankow,B,4E,034E,4,76,O,0,0,0.0,0,0.0,0,0.0,666,0.0,666,100.0,663,99.5,3,0.5,141,21.3,55,8.3,62,9.4,75,11.3,73,11.0,37,5.6,18,2.7,25,3.8,8,1.2,31,4.7,2,0.3,6,0.9,3,0.5,1,0.2,2,0.3,0,0.0,4,0.6,3,0.5,0,0.0,0,0.0,1,0.2,3,0.5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,100,15.1,0,0.0,3,0.5,5,0.8,0,0.0,4,0.6,0,0.0,
03B4F,03,Pankow,B,4F,034F,4,76,O,0,0,0.0,0,0.0,0,0.0,615,0.0,615,100.0,610,99.2,5,0.8,46,7.5,86,14.1,96,15.7,57,9.3,98,16.1,19,3.1,11,1.8,12,2.0,5,0.8,25,4.1,5,0.8,4,0.7,5,0.8,5,0.8,11,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,115,18.9,0,0.0,0,0.0,2,0.3,1,0.2,3,0.5,3,0.5,
03B4G,03,Pankow,B,4G,034G,4,76,O,0,0,0.0,0,0.0,0,0.0,620,0.0,620,100.0,619,99.8,1,0.2,90,14.5,95,15.3,101,16.3,61,9.9,81,13.1,14,2.3,17,2.7,19,3.1,3,0.5,21,3.4,5,0.8,3,0.5,4,0.6,5,0.8,4,0.6,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,3,0.5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,81,13.1,0,0.0,1,0.2,5,0.8,1,0.2,3,0.5,0,0.0,
