id,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_piraten,party_piraten_percentage,party_npd,party_npd_percentage,party_fdp,party_fdp_percentage,party_afd,party_afd_percentage,others,others_percentage
ID,"Bezirks-
nummer",Bezirksname,Wahlbezirk,Wahl-bezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",Wahlberechtigte insgesamt,Wähler,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,CDU,CDU in Prozent,GRÜNE,GRÜNE in Prozent,DIE LINKE,DIE LINKE in Prozent,PIRATEN,PIRATEN in Prozent,NPD,NPD in Prozent,FDP,FDP in Prozent,AfD,AfD in Prozent,Sonstige,Sonstige in Prozent
11417,11,Lichtenberg,417,W,4,86,1402,679,17,662,147,22.20543806646526,137,20.694864048338367,67,10.120845921450151,178,26.888217522658607,47,7.099697885196375,17,2.56797583081571,12,1.812688821752266,39,5.8912386706948645,18,2.719033232628399
11418,11,Lichtenberg,418,W,4,86,1274,669,17,652,141,21.625766871165645,145,22.23926380368098,51,7.822085889570553,192,29.447852760736197,35,5.368098159509203,18,2.7607361963190185,12,1.8404907975460123,43,6.595092024539877,15,2.3006134969325154
11419,11,Lichtenberg,419,W,4,86,1284,684,11,673,162,24.071322436849925,126,18.7221396731055,53,7.87518573551263,198,29.420505200594356,49,7.280832095096583,16,2.37741456166419,13,1.9316493313521546,33,4.903417533432393,23,3.4175334323922733
11420,11,Lichtenberg,420,W,4,86,1360,700,16,684,153,22.36842105263158,141,20.614035087719298,74,10.818713450292398,192,28.07017543859649,39,5.701754385964912,15,2.1929824561403506,12,1.7543859649122806,39,5.701754385964912,19,2.7777777777777777
11421,11,Lichtenberg,421,W,4,86,1199,555,13,542,119,21.95571955719557,107,19.74169741697417,59,10.885608856088561,147,27.121771217712176,43,7.9335793357933575,15,2.7675276752767526,8,1.4760147601476015,26,4.797047970479705,18,3.3210332103321036
11422,11,Lichtenberg,422,W,4,86,1284,672,13,659,154,23.368740515933233,131,19.878603945371776,55,8.34597875569044,187,28.376327769347498,46,6.980273141122914,15,2.2761760242792106,13,1.9726858877086493,39,5.918057663125948,19,2.8831562974203337
11423,11,Lichtenberg,423,W,4,86,1486,801,17,784,195,24.872448979591837,182,23.214285714285715,41,5.229591836734694,271,34.566326530612244,22,2.806122448979592,15,1.913265306122449,5,0.6377551020408163,36,4.591836734693878,17,2.1683673469387754
11424,11,Lichtenberg,424,W,4,86,946,456,7,449,77,17.14922048997773,83,18.485523385300667,24,5.3452115812917596,194,43.207126948775056,19,4.231625835189309,12,2.6726057906458798,5,1.1135857461024499,20,4.4543429844097995,15,3.34075723830735
11425,11,Lichtenberg,425,W,4,86,1276,680,13,667,148,22.188905547226387,144,21.58920539730135,45,6.746626686656672,231,34.63268365817092,26,3.8980509745127434,18,2.6986506746626686,9,1.3493253373313343,27,4.0479760119940025,19,2.848575712143928
11426,11,Lichtenberg,426,W,4,86,1063,566,9,557,104,18.67145421903052,105,18.850987432675044,37,6.642728904847396,195,35.00897666068223,37,6.642728904847396,17,3.052064631956912,6,1.0771992818671454,39,7.001795332136446,17,3.052064631956912
