id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
03308,03,308,3,1399,0,557,2,24,533,330,203,44,466.3333333333333,0.0,0.39814152966404576,0.0014295925661186562,0.017155110793423873,0.38098641887062185,0.23588277340957828,0.1451036454610436,0.031451036454610434
03309,03,309,3,1664,0,681,2,33,648,440,208,57,554.6666666666666,0.0,0.4092548076923077,0.001201923076923077,0.019831730769230768,0.3894230769230769,0.2644230769230769,0.125,0.034254807692307696
03310,03,310,3,1385,0,641,1,21,620,419,201,29,461.6666666666667,0.0,0.4628158844765343,0.0007220216606498195,0.01516245487364621,0.44765342960288806,0.3025270758122744,0.14512635379061373,0.020938628158844765
03311,03,311,3,1312,0,657,3,48,609,398,211,48,437.3333333333333,0.0,0.5007621951219512,0.0022865853658536584,0.036585365853658534,0.4641768292682927,0.30335365853658536,0.16082317073170732,0.036585365853658534
03312,03,312,3,1414,0,636,1,35,601,376,225,58,471.3333333333333,0.0,0.4497878359264498,0.0007072135785007072,0.024752475247524754,0.42503536067892506,0.26591230551626593,0.15912305516265912,0.04101838755304102
03313,03,313,3,1569,0,762,2,26,736,441,295,62,523.0,0.0,0.48565965583174,0.0012746972594008922,0.0165710643722116,0.46908859145952836,0.28107074569789675,0.1880178457616316,0.039515615041427664
03314,03,314,3,1462,0,664,0,34,630,364,266,33,487.3333333333333,0.0,0.454172366621067,0.0,0.023255813953488372,0.43091655266757867,0.24897400820793433,0.18194254445964433,0.022571819425444596
03315,03,315,3,1309,0,651,1,28,623,420,203,35,436.3333333333333,0.0,0.49732620320855614,0.0007639419404125286,0.0213903743315508,0.47593582887700536,0.32085561497326204,0.15508021390374332,0.026737967914438502
03316,03,316,3,1334,0,649,2,25,624,404,220,29,444.6666666666667,0.0,0.48650674662668664,0.0014992503748125937,0.018740629685157422,0.46776611694152925,0.3028485757121439,0.16491754122938532,0.021739130434782608
03317,03,317,3,1780,0,832,4,20,812,549,263,38,593.3333333333334,0.0,0.46741573033707867,0.0022471910112359553,0.011235955056179775,0.45617977528089887,0.30842696629213484,0.14775280898876406,0.021348314606741574
