vote_type,address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt
Zweitstimme,02B2B,02,Friedrichshain-Kreuzberg,2B,B,2B,2,83,W,0,0,0,0,245,245,245,0,17,22,100,68,1,9,13,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,3
Zweitstimme,02B2C,02,Friedrichshain-Kreuzberg,2C,B,2C,2,83,W,0,0,0,0,235,235,234,1,29,20,94,62,3,8,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,3
Zweitstimme,02B2D,02,Friedrichshain-Kreuzberg,2D,B,2D,2,83,W,0,0,0,0,214,214,214,0,22,12,84,68,0,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,1,2
Zweitstimme,02B2E,02,Friedrichshain-Kreuzberg,2E,B,2E,2,83,W,0,0,0,0,225,225,224,1,28,14,86,66,2,5,10,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2
Zweitstimme,02B2F,02,Friedrichshain-Kreuzberg,2F,B,2F,2,83,W,0,0,0,0,213,213,212,1,20,18,84,66,3,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1
Zweitstimme,02B2G,02,Friedrichshain-Kreuzberg,2G,B,2G,2,83,W,0,0,0,0,261,261,260,1,19,34,108,61,3,10,8,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3
Zweitstimme,02B2H,02,Friedrichshain-Kreuzberg,2H,B,2H,2,83,W,0,0,0,0,268,268,268,0,32,32,111,55,4,14,7,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1
Zweitstimme,02B2J,02,Friedrichshain-Kreuzberg,2J,B,2J,2,83,W,0,0,0,0,274,274,274,0,31,22,111,67,6,6,4,7,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,4
Zweitstimme,02B2K,02,Friedrichshain-Kreuzberg,2K,B,2K,2,83,W,0,0,0,0,303,303,303,0,24,20,135,87,2,5,3,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,6,0,0,0,2,3
Zweitstimme,02B2L,02,Friedrichshain-Kreuzberg,2L,B,2L,2,83,W,0,0,0,0,263,263,263,0,31,14,116,71,3,8,7,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3
Zweitstimme,02B2M,02,Friedrichshain-Kreuzberg,2M,B,2M,2,83,W,0,0,0,0,225,225,225,0,39,17,95,44,4,3,9,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,3
Zweitstimme,02B2N,02,Friedrichshain-Kreuzberg,2N,B,2N,2,83,W,0,0,0,0,247,247,247,0,26,19,107,60,4,5,8,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2
Zweitstimme,02B2P,02,Friedrichshain-Kreuzberg,2P,B,2P,2,83,W,0,0,0,0,164,164,164,0,22,11,57,43,6,8,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,2
Zweitstimme,02B2Q,02,Friedrichshain-Kreuzberg,2Q,B,2Q,2,83,W,0,0,0,0,328,328,328,0,51,33,112,76,6,15,7,5,1,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,0,1,1,6,2
Zweitstimme,02B2R,02,Friedrichshain-Kreuzberg,2R,B,2R,2,83,W,0,0,0,0,278,278,278,0,29,27,139,45,3,10,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,2,2
Zweitstimme,02B2S,02,Friedrichshain-Kreuzberg,2S,B,2S,2,83,W,0,0,0,0,305,305,305,0,34,32,139,68,2,3,7,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,2,2,0,3
Zweitstimme,02B2T,02,Friedrichshain-Kreuzberg,2T,B,2T,2,83,W,0,0,0,0,225,225,225,0,35,21,86,43,7,7,4,1,1,0,0,0,0,6,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,5
Zweitstimme,02B2U,02,Friedrichshain-Kreuzberg,2U,B,2U,2,83,W,0,0,0,0,301,301,301,0,27,34,139,50,4,8,14,5,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,2,0,1,1,1,5
Zweitstimme,02B2V,02,Friedrichshain-Kreuzberg,2V,B,2V,2,83,W,0,0,0,0,192,192,191,1,17,11,88,42,1,7,7,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,4
Zweitstimme,02B2W,02,Friedrichshain-Kreuzberg,2W,B,2W,2,83,W,0,0,0,0,208,208,208,0,24,18,101,35,3,7,9,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1
Zweitstimme,02B2X,02,Friedrichshain-Kreuzberg,2X,B,2X,2,83,W,0,0,0,0,119,119,119,0,13,29,39,20,0,5,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Zweitstimme,02B2Y,02,Friedrichshain-Kreuzberg,2Y,B,2Y,2,83,W,0,0,0,0,468,468,467,1,75,55,188,87,6,15,10,5,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,7,0,0,0,2,8
Zweitstimme,02B2Z,02,Friedrichshain-Kreuzberg,2Z,B,2Z,2,83,W,0,0,0,0,440,440,436,3,80,57,169,75,7,15,15,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,4
Zweitstimme,02W301,02,Friedrichshain-Kreuzberg,301,W,3A,3,83,W,1089,749,340,0,510,13,506,4,66,42,217,113,8,15,12,9,2,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,1,4,0,3,0,0,4
Zweitstimme,02W302,02,Friedrichshain-Kreuzberg,302,W,3B,3,83,W,1201,755,446,0,551,0,548,3,85,82,234,83,10,15,4,6,3,1,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,4
Zweitstimme,02W303,02,Friedrichshain-Kreuzberg,303,W,3C,3,83,W,1175,824,351,0,452,17,448,4,62,45,158,105,16,11,10,12,1,1,0,0,0,4,0,0,0,2,2,4,0,0,0,0,0,0,1,1,0,0,7,0,0,0,4,2
Zweitstimme,02W304,02,Friedrichshain-Kreuzberg,304,W,3D,3,83,W,1091,762,329,0,468,16,464,4,60,44,203,104,4,14,11,5,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,2,0,2,0,0,4
Zweitstimme,02W305,02,Friedrichshain-Kreuzberg,305,W,3E,3,83,W,1096,754,342,0,471,13,468,3,72,33,194,112,8,9,12,5,2,2,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,3,7
Zweitstimme,02W306,02,Friedrichshain-Kreuzberg,306,W,3F,3,83,W,1029,743,286,0,424,4,422,2,66,50,146,93,21,11,5,5,2,2,0,0,0,1,2,0,0,1,0,3,1,0,0,2,0,0,2,0,0,0,2,0,2,0,2,3
Zweitstimme,02W307,02,Friedrichshain-Kreuzberg,307,W,3G,3,83,W,808,682,126,0,249,6,246,3,44,53,66,46,9,3,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,1,9,0
Zweitstimme,02W308,02,Friedrichshain-Kreuzberg,308,W,3H,3,83,W,1195,939,256,0,405,7,392,3,75,92,88,66,28,8,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,1,0,6,8
Zweitstimme,02W309,02,Friedrichshain-Kreuzberg,309,W,3J,3,83,W,801,646,155,0,256,3,252,3,45,49,69,42,9,6,3,6,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,3,3,6,4
Zweitstimme,02W310,02,Friedrichshain-Kreuzberg,310,W,3K,3,83,W,1231,975,256,0,423,0,420,3,97,90,99,64,27,9,2,6,0,1,0,1,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7
Zweitstimme,02W311,02,Friedrichshain-Kreuzberg,311,W,3L,3,83,W,1168,941,227,0,425,7,420,5,97,98,95,57,26,14,5,3,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,2,4,0,1,0,6,3
Zweitstimme,02W312,02,Friedrichshain-Kreuzberg,312,W,3M,3,83,W,763,620,143,0,272,7,268,4,47,66,55,42,11,7,5,4,2,1,0,2,0,0,3,0,0,1,0,3,0,0,0,1,0,0,1,2,0,2,2,0,1,0,8,2
Zweitstimme,02W313,02,Friedrichshain-Kreuzberg,313,W,3M,3,83,W,826,656,170,0,262,9,258,4,61,70,39,35,21,4,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,8,0
Zweitstimme,02W314,02,Friedrichshain-Kreuzberg,314,W,3N,3,83,W,1182,988,194,0,331,2,327,4,80,111,35,51,10,8,4,8,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,6,3
Zweitstimme,02W315,02,Friedrichshain-Kreuzberg,315,W,3P,3,83,W,948,778,170,0,264,10,260,4,60,51,49,47,12,6,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,3,0,16,1
Zweitstimme,02W316,02,Friedrichshain-Kreuzberg,316,W,3Q,3,83,W,1205,1025,180,0,321,6,318,3,73,93,34,64,19,4,4,4,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,3,7,2
Zweitstimme,02W317,02,Friedrichshain-Kreuzberg,317,W,3R,3,83,W,1258,997,261,0,437,13,434,3,51,49,123,144,9,7,17,6,2,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,0,0,4,0,0,0,2,0,0,2,4,7
Zweitstimme,02W318,02,Friedrichshain-Kreuzberg,318,W,3S,3,83,W,919,700,219,0,281,6,280,1,49,32,83,78,1,4,6,6,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,1,6,3
Zweitstimme,02W319,02,Friedrichshain-Kreuzberg,319,W,3T,3,83,W,948,695,253,0,439,22,431,8,58,47,139,123,6,7,15,9,2,1,0,0,0,1,0,0,0,3,1,4,0,0,0,2,0,0,2,0,0,0,3,0,0,0,4,4
Zweitstimme,02W320,02,Friedrichshain-Kreuzberg,320,W,3U,3,83,W,1033,799,234,0,369,6,363,0,44,49,114,103,10,5,7,5,3,1,0,1,0,3,2,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,4,0,0,0,4,1
Zweitstimme,02W321,02,Friedrichshain-Kreuzberg,321,W,3V,3,83,W,908,724,184,0,381,10,379,2,44,50,91,132,17,3,14,3,2,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,4,0,1,2,5,2
Zweitstimme,02W322,02,Friedrichshain-Kreuzberg,322,W,3W,3,83,W,981,808,173,0,306,1,304,2,58,45,70,78,13,3,13,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,4
Zweitstimme,02W323,02,Friedrichshain-Kreuzberg,323,W,3X,3,83,W,1113,842,271,0,476,12,471,5,64,51,157,122,10,12,13,5,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,2,0,0,0,3,0,3,0,16,5
Zweitstimme,02W324,02,Friedrichshain-Kreuzberg,324,W,3Y,3,83,W,1134,841,293,0,518,9,512,6,69,49,178,161,8,5,12,6,1,0,0,1,1,2,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,1,0,0,1,5,5
Zweitstimme,02W325,02,Friedrichshain-Kreuzberg,325,W,3Z,3,83,W,1111,870,241,0,391,5,387,3,59,80,101,77,10,6,11,16,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,5,0,1,0,6,4
Zweitstimme,02W326,02,Friedrichshain-Kreuzberg,326,W,3AA,3,83,W,1078,776,302,0,501,17,496,5,71,45,175,140,7,7,12,2,2,1,0,1,0,1,1,0,0,1,1,9,0,0,0,0,0,0,6,0,0,0,2,0,4,1,2,5
Zweitstimme,02W327,02,Friedrichshain-Kreuzberg,327,W,3AB,3,83,W,879,612,267,0,343,11,342,1,46,24,122,89,4,11,18,7,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,1,5,5
Zweitstimme,02B3A,02,Friedrichshain-Kreuzberg,3A,B,3A,3,83,W,0,0,0,0,304,304,304,0,41,21,147,52,6,17,4,3,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4
Zweitstimme,02B3AA,02,Friedrichshain-Kreuzberg,3AA,B,3AA,3,83,W,0,0,0,0,260,260,259,1,38,13,118,53,1,5,5,2,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,6,0,2,0,2,4
Zweitstimme,02B3AB,02,Friedrichshain-Kreuzberg,3AB,B,3AB,3,83,W,0,0,0,0,236,236,236,0,37,25,94,47,5,9,8,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2
Zweitstimme,02B3B,02,Friedrichshain-Kreuzberg,3B,B,3B,3,83,W,0,0,0,0,381,381,379,2,59,74,149,54,4,14,8,3,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,5
Zweitstimme,02B3C,02,Friedrichshain-Kreuzberg,3C,B,3C,3,83,W,0,0,0,0,301,301,301,0,52,32,114,59,10,6,5,6,2,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,5
Zweitstimme,02B3D,02,Friedrichshain-Kreuzberg,3D,B,3D,3,83,W,0,0,0,0,271,271,270,1,30,31,127,39,1,17,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,9
Zweitstimme,02B3E,02,Friedrichshain-Kreuzberg,3E,B,3E,3,83,W,0,0,0,0,302,302,301,1,39,25,156,44,3,13,8,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
Zweitstimme,02B3F,02,Friedrichshain-Kreuzberg,3F,B,3F,3,83,W,0,0,0,0,253,253,251,2,38,26,106,50,3,5,7,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,3,0,0,4
Zweitstimme,02B3G,02,Friedrichshain-Kreuzberg,3G,B,3G,3,83,W,0,0,0,0,103,103,103,0,17,8,32,20,7,2,2,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3
Zweitstimme,02B3H,02,Friedrichshain-Kreuzberg,3H,B,3H,3,83,W,0,0,0,0,220,220,220,0,37,30,71,33,9,17,3,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,3
Zweitstimme,02B3J,02,Friedrichshain-Kreuzberg,3J,B,3J,3,83,W,0,0,0,0,130,130,130,0,18,24,49,19,3,4,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2
Zweitstimme,02B3K,02,Friedrichshain-Kreuzberg,3K,B,3K,3,83,W,0,0,0,0,227,227,226,1,52,58,69,17,5,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,1
Zweitstimme,02B3L,02,Friedrichshain-Kreuzberg,3L,B,3L,3,83,W,0,0,0,0,180,180,179,1,32,29,65,17,12,6,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,3
Zweitstimme,02B3M,02,Friedrichshain-Kreuzberg,3M,B,3M,3,83,W,0,0,0,0,259,259,257,2,38,39,69,47,12,11,6,9,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,0,3,4
Zweitstimme,02B3N,02,Friedrichshain-Kreuzberg,3N,B,3N,3,83,W,0,0,0,0,173,173,171,1,42,46,21,23,11,5,2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3
Zweitstimme,02B3P,02,Friedrichshain-Kreuzberg,3P,B,3P,3,83,W,0,0,0,0,142,142,142,0,19,33,39,32,7,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1
Zweitstimme,02B3Q,02,Friedrichshain-Kreuzberg,3Q,B,3Q,3,83,W,0,0,0,0,147,147,146,1,28,34,32,24,6,4,4,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
Zweitstimme,02B3R,02,Friedrichshain-Kreuzberg,3R,B,3R,3,83,W,0,0,0,0,209,209,209,0,20,20,76,68,0,3,7,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
Zweitstimme,02B3S,02,Friedrichshain-Kreuzberg,3S,B,3S,3,83,W,0,0,0,0,191,191,189,2,21,19,88,42,4,2,5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Zweitstimme,02B3T,02,Friedrichshain-Kreuzberg,3T,B,3T,3,83,W,0,0,0,0,211,211,210,1,29,19,91,44,2,2,11,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1
Zweitstimme,02B3U,02,Friedrichshain-Kreuzberg,3U,B,3U,3,83,W,0,0,0,0,194,194,192,2,19,11,80,60,3,2,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
Zweitstimme,02B3V,02,Friedrichshain-Kreuzberg,3V,B,3V,3,83,W,0,0,0,0,163,163,163,0,21,12,61,41,1,2,11,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0
Zweitstimme,02B3W,02,Friedrichshain-Kreuzberg,3W,B,3W,3,83,W,0,0,0,0,158,158,158,0,11,19,55,49,1,1,3,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,2
Zweitstimme,02B3X,02,Friedrichshain-Kreuzberg,3X,B,3X,3,83,W,0,0,0,0,233,233,233,0,25,21,81,71,5,4,10,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,2,1,2
Zweitstimme,02B3Y,02,Friedrichshain-Kreuzberg,3Y,B,3Y,3,83,W,0,0,0,0,255,255,252,2,29,23,105,61,5,5,7,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,5
Zweitstimme,02B3Z,02,Friedrichshain-Kreuzberg,3Z,B,3Z,3,83,W,0,0,0,0,197,197,196,1,44,28,65,35,3,2,7,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Zweitstimme,02W401,02,Friedrichshain-Kreuzberg,401,W,4A,4,83,O,1117,831,286,0,341,1,340,1,58,62,40,93,39,11,2,11,1,1,0,0,0,1,2,0,0,0,0,7,1,0,0,1,0,0,1,0,0,2,0,0,2,2,0,3
Zweitstimme,02W402,02,Friedrichshain-Kreuzberg,402,W,4B,4,83,O,1107,832,275,0,446,5,440,5,86,109,50,100,56,13,2,1,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,1,0,2,1,3,2
Zweitstimme,02W403,02,Friedrichshain-Kreuzberg,403,W,4C,4,83,O,1244,904,340,0,337,0,329,8,73,55,44,78,34,13,7,7,2,0,0,2,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0
Zweitstimme,02W404,02,Friedrichshain-Kreuzberg,404,W,4D,4,83,O,1071,766,305,0,378,5,376,1,78,79,41,76,51,11,8,8,2,5,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,4
Zweitstimme,02W405,02,Friedrichshain-Kreuzberg,405,W,4E,4,83,O,869,535,334,0,327,9,323,4,56,59,61,80,18,18,6,4,0,1,0,1,0,1,1,0,0,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,2,1,1,5
Zweitstimme,02W406,02,Friedrichshain-Kreuzberg,406,W,4F,4,83,O,979,693,286,0,386,6,385,0,66,65,79,82,42,8,8,7,3,1,2,2,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,1,1,0,1,2,1,7
Zweitstimme,02W407,02,Friedrichshain-Kreuzberg,407,W,4G,4,83,O,783,567,216,0,295,7,294,1,46,46,80,63,16,8,5,7,4,2,0,1,0,0,1,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,2,0,0,1,0,4
Zweitstimme,02W408,02,Friedrichshain-Kreuzberg,408,W,4H,4,83,O,856,539,317,0,304,4,302,2,48,41,85,59,12,19,5,6,4,1,3,0,0,0,1,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
Zweitstimme,02W409,02,Friedrichshain-Kreuzberg,409,W,4J,4,83,O,1051,686,365,0,334,4,331,3,68,67,71,56,27,8,5,15,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4
Zweitstimme,02W410,02,Friedrichshain-Kreuzberg,410,W,4K,4,83,O,1024,586,438,0,438,10,437,1,57,76,150,73,19,25,9,10,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,8
Zweitstimme,02W411,02,Friedrichshain-Kreuzberg,411,W,4L,4,83,O,1129,773,356,0,441,4,435,6,87,90,76,101,29,15,6,9,1,1,1,0,0,3,0,1,0,2,0,1,1,0,0,0,0,0,2,0,0,1,2,0,3,1,0,2
Zweitstimme,02W412,02,Friedrichshain-Kreuzberg,412,W,4M,4,83,O,1059,665,394,0,396,7,393,3,54,61,98,101,26,8,4,14,3,0,0,2,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,1,2,9
Zweitstimme,02W413,02,Friedrichshain-Kreuzberg,413,W,4N,4,83,O,915,592,323,0,352,15,351,1,57,38,104,90,17,9,10,8,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,6
Zweitstimme,02W414,02,Friedrichshain-Kreuzberg,414,W,4P,4,83,O,941,574,367,0,315,15,315,0,58,39,96,56,13,13,9,8,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,2,1,5,6
Zweitstimme,02W415,02,Friedrichshain-Kreuzberg,415,W,4Q,4,83,O,1145,784,361,0,466,16,465,1,70,68,111,113,44,13,12,7,3,1,0,1,1,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,3,0,1,9
Zweitstimme,02W416,02,Friedrichshain-Kreuzberg,416,W,4R,4,83,O,1297,858,439,0,479,10,475,4,78,91,98,116,28,8,15,14,1,0,1,0,0,2,1,0,0,1,0,2,0,0,0,2,0,0,0,2,0,1,0,0,2,1,4,7
Zweitstimme,02W417,02,Friedrichshain-Kreuzberg,417,W,4S,4,83,O,1046,737,309,0,394,8,390,4,53,70,94,99,21,12,7,10,5,1,1,1,0,2,2,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,2,0,2,0,0,2
Zweitstimme,02W418,02,Friedrichshain-Kreuzberg,418,W,4T,4,83,O,1153,826,327,0,346,0,340,6,61,83,34,69,52,5,7,14,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,3,1
Zweitstimme,02W419,02,Friedrichshain-Kreuzberg,419,W,4U,4,83,O,1283,907,376,0,430,7,425,3,71,95,63,98,45,10,5,9,3,0,1,1,0,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,2,1,0,1,1,2,9
Zweitstimme,02W420,02,Friedrichshain-Kreuzberg,420,W,4V,4,83,O,776,583,193,0,258,2,257,0,39,67,29,42,32,10,8,6,1,2,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,2,0,5,5
Zweitstimme,02W421,02,Friedrichshain-Kreuzberg,421,W,4W,4,83,O,924,686,238,0,289,4,286,3,49,65,48,46,36,6,5,5,1,2,0,0,0,4,1,0,0,0,0,3,0,0,0,2,0,0,1,1,0,1,2,0,5,0,2,1
Zweitstimme,02W422,02,Friedrichshain-Kreuzberg,422,W,4X,4,83,O,816,579,237,0,298,4,294,2,45,68,64,46,19,21,4,5,3,2,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,3,0,2,5
Zweitstimme,02W423,02,Friedrichshain-Kreuzberg,423,W,4Y,4,83,O,1097,821,276,0,366,1,365,1,59,63,62,67,47,13,7,11,3,2,0,2,1,2,0,0,0,0,2,1,1,0,0,4,0,0,2,0,0,1,3,0,1,2,7,2
Zweitstimme,02W424,02,Friedrichshain-Kreuzberg,424,W,4Z,4,83,O,855,573,282,0,316,6,315,1,59,70,60,57,32,7,5,4,4,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,2,3
Zweitstimme,02W425,02,Friedrichshain-Kreuzberg,425,W,4AA,4,83,O,1160,729,431,0,464,8,462,1,60,58,140,115,20,15,16,12,3,1,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,8
Zweitstimme,02W426,02,Friedrichshain-Kreuzberg,426,W,4AB,4,83,O,1130,698,432,0,443,7,441,2,71,43,139,107,17,12,13,5,2,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,3,0,0,2,6,0,2,2,1,9
