address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
03B8I,03,Pankow,8I,B,038I,O,08,75,0,688,1,687,95,13.828238719068414,259,37.70014556040756,97,14.119359534206696,119,17.321688500727802,14,2.037845705967977,46,6.695778748180495,57,8.296943231441048
03B8K,03,Pankow,8K,B,038K,O,08,75,0,452,1,451,61,13.52549889135255,170,37.6940133037694,66,14.634146341463413,69,15.299334811529933,9,1.9955654101995564,23,5.099778270509978,53,11.751662971175167
03B8L,03,Pankow,8L,B,038L,O,08,75,0,679,2,677,71,10.487444608567207,266,39.29098966026588,88,12.998522895125554,107,15.805022156573118,12,1.7725258493353029,53,7.828655834564254,80,11.816838995568684
03B8M,03,Pankow,8M,B,038M,O,08,75,0,669,1,668,75,11.22754491017964,251,37.5748502994012,99,14.820359281437126,120,17.964071856287426,12,1.7964071856287425,49,7.335329341317365,62,9.281437125748502
03B8N,03,Pankow,8N,B,038N,O,08,75,0,386,0,386,51,13.21243523316062,161,41.70984455958549,46,11.917098445595855,57,14.766839378238341,7,1.8134715025906734,19,4.922279792746114,45,11.658031088082902
03B8P,03,Pankow,8P,B,038P,O,08,75,0,753,0,753,97,12.881806108897742,285,37.84860557768924,109,14.475431606905712,135,17.928286852589643,19,2.5232403718459495,45,5.9760956175298805,63,8.366533864541832
03B8Q,03,Pankow,8Q,B,038Q,O,08,75,0,679,0,679,92,13.549337260677467,236,34.75699558173785,130,19.145802650957293,98,14.432989690721648,21,3.0927835051546393,66,9.72017673048601,36,5.3019145802650955
03B8R,03,Pankow,8R,B,038R,O,08,75,0,424,0,424,47,11.084905660377359,161,37.971698113207545,69,16.27358490566038,71,16.745283018867923,11,2.5943396226415096,33,7.783018867924528,32,7.547169811320755
03B9A,03,Pankow,9A,B,039A,O,09,75,0,383,0,382,51,13.350785340314136,112,29.31937172774869,61,15.968586387434556,79,20.680628272251308,25,6.544502617801047,2,0.5235602094240838,52,13.612565445026178
03B9B,03,Pankow,9B,B,039B,O,09,75,0,397,1,395,55,13.924050632911392,110,27.848101265822784,72,18.227848101265824,78,19.746835443037973,24,6.075949367088607,9,2.278481012658228,47,11.89873417721519
03B9C,03,Pankow,9C,B,039C,O,09,75,0,702,1,701,129,18.40228245363766,124,17.68901569186876,166,23.680456490727533,131,18.687589158345222,62,8.84450784593438,20,2.8530670470756063,69,9.843081312410842
03B9D,03,Pankow,9D,B,039D,O,09,75,0,445,2,443,65,14.672686230248308,112,25.28216704288939,97,21.896162528216703,80,18.058690744920995,22,4.966139954853273,21,4.740406320541761,46,10.383747178329571
