address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_afd,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
07W115,07,Tempelhof-Schöneberg,115,W,071L,W,01,80,1166,365,6,359,81,22.56267409470752,97,27.019498607242337,77,21.448467966573816,26,7.242339832869081,26,7.242339832869081,28,7.7994428969359335,24,6.685236768802229
07W116,07,Tempelhof-Schöneberg,116,W,071M,W,01,80,995,400,10,390,81,20.76923076923077,146,37.43589743589744,49,12.564102564102564,45,11.538461538461538,21,5.384615384615385,24,6.153846153846154,24,6.153846153846154
07W117,07,Tempelhof-Schöneberg,117,W,071G,W,01,80,1103,293,3,290,64,22.06896551724138,79,27.241379310344826,68,23.448275862068964,30,10.344827586206897,22,7.586206896551724,13,4.482758620689655,14,4.827586206896552
07W118,07,Tempelhof-Schöneberg,118,W,071N,W,01,80,1046,278,2,276,43,15.579710144927535,112,40.57971014492754,24,8.695652173913043,55,19.92753623188406,17,6.159420289855073,7,2.536231884057971,18,6.521739130434782
07W119,07,Tempelhof-Schöneberg,119,W,071P,W,01,80,1122,315,4,311,68,21.864951768488748,83,26.688102893890676,68,21.864951768488748,32,10.289389067524116,23,7.395498392282958,15,4.823151125401929,22,7.07395498392283
07W120,07,Tempelhof-Schöneberg,120,W,071R,W,01,80,1192,414,8,406,114,28.078817733990146,109,26.84729064039409,56,13.793103448275861,37,9.113300492610838,27,6.65024630541872,35,8.620689655172415,28,6.896551724137931
07W121,07,Tempelhof-Schöneberg,121,W,071S,W,01,80,1054,402,7,395,107,27.088607594936708,113,28.607594936708864,43,10.886075949367088,46,11.645569620253164,21,5.3164556962025316,42,10.632911392405063,23,5.822784810126582
07W122,07,Tempelhof-Schöneberg,122,W,071S,W,01,80,1041,420,6,414,98,23.67149758454106,150,36.231884057971016,44,10.628019323671497,41,9.903381642512077,16,3.864734299516908,36,8.695652173913043,29,7.004830917874397
07W123,07,Tempelhof-Schöneberg,123,W,071M,W,01,80,1118,446,7,439,114,25.968109339407746,151,34.39635535307517,45,10.250569476082005,47,10.70615034168565,18,4.100227790432802,39,8.88382687927107,25,5.694760820045558
07W124,07,Tempelhof-Schöneberg,124,W,071T,W,01,80,1018,417,6,411,105,25.547445255474454,146,35.523114355231144,40,9.732360097323602,41,9.975669099756692,16,3.8929440389294405,35,8.51581508515815,28,6.81265206812652
07W125,07,Tempelhof-Schöneberg,125,W,071T,W,01,80,1166,333,4,329,60,18.237082066869302,145,44.07294832826747,32,9.72644376899696,41,12.462006079027356,28,8.51063829787234,4,1.21580547112462,19,5.775075987841945
07W126,07,Tempelhof-Schöneberg,126,W,071N,W,01,80,1140,377,4,373,77,20.64343163538874,148,39.67828418230563,34,9.115281501340483,54,14.47721179624665,19,5.093833780160858,17,4.557640750670242,24,6.434316353887399
07W127,07,Tempelhof-Schöneberg,127,W,071U,W,01,80,1155,423,6,417,109,26.139088729016784,121,29.016786570743403,55,13.189448441247004,40,9.59232613908873,20,4.796163069544365,46,11.031175059952037,26,6.235011990407674
07W128,07,Tempelhof-Schöneberg,128,W,071V,W,01,80,1205,432,4,428,120,28.037383177570092,121,28.27102803738318,52,12.149532710280374,44,10.2803738317757,23,5.373831775700935,49,11.448598130841122,19,4.439252336448598
07W129,07,Tempelhof-Schöneberg,129,W,071W,W,01,80,1195,436,8,428,114,26.635514018691588,123,28.738317757009348,58,13.551401869158877,34,7.943925233644859,28,6.5420560747663545,36,8.411214953271028,35,8.177570093457943
07W130,07,Tempelhof-Schöneberg,130,W,071X,W,01,80,1117,434,6,428,109,25.46728971962617,176,41.1214953271028,29,6.775700934579438,58,13.551401869158877,14,3.2710280373831773,21,4.906542056074766,21,4.906542056074766
07W131,07,Tempelhof-Schöneberg,131,W,071Y,W,01,80,1304,506,9,497,133,26.76056338028169,191,38.43058350100604,41,8.249496981891348,57,11.468812877263582,23,4.627766599597585,29,5.8350100603621735,23,4.627766599597585
07W201,07,Tempelhof-Schöneberg,201,W,072A,W,02,80,1163,421,7,414,106,25.60386473429952,126,30.434782608695656,47,11.352657004830919,40,9.66183574879227,25,6.038647342995169,38,9.178743961352657,32,7.729468599033816
