address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
02W226,,02,Friedrichshain-Kreuzberg,226,,2,83,O,1474,1042,432,0,887,17,15,872,404,468
02W301,,02,Friedrichshain-Kreuzberg,301,,3,83,W,1199,991,208,0,603,3,10,593,360,233
02W302,,02,Friedrichshain-Kreuzberg,302,,3,83,W,1577,1299,278,0,724,5,37,687,437,250
02W303,,02,Friedrichshain-Kreuzberg,303,,3,83,W,557,478,79,0,251,2,6,245,155,90
02W304,,02,Friedrichshain-Kreuzberg,304,,3,83,W,1378,1093,285,0,654,8,21,633,334,299
02W305,,02,Friedrichshain-Kreuzberg,305,,3,83,W,1294,1106,188,0,607,3,10,597,387,210
02W306,,02,Friedrichshain-Kreuzberg,306,,3,83,W,1380,1107,273,0,665,6,6,659,434,225
02W307,,02,Friedrichshain-Kreuzberg,307,,3,83,W,1557,1261,296,0,739,3,22,717,420,297
02W308,,02,Friedrichshain-Kreuzberg,308,,3,83,W,1048,868,180,0,461,9,12,449,264,185
02W309,,02,Friedrichshain-Kreuzberg,309,,3,83,W,1302,1095,207,0,641,5,15,626,414,212
02W310,,02,Friedrichshain-Kreuzberg,310,,3,83,W,1282,911,371,0,663,6,21,642,344,298
02W311,,02,Friedrichshain-Kreuzberg,311,,3,83,W,1208,850,358,0,643,10,23,620,242,378
02W312,,02,Friedrichshain-Kreuzberg,312,,3,83,W,1647,1197,450,0,863,18,29,834,347,487
02W313,,02,Friedrichshain-Kreuzberg,313,,3,83,W,1247,1037,210,0,556,3,13,543,378,165
02W314,,02,Friedrichshain-Kreuzberg,314,,3,83,W,1467,1228,239,0,588,6,6,582,387,195
02W315,,02,Friedrichshain-Kreuzberg,315,,3,83,W,1458,1153,305,0,623,6,15,608,309,299
02W316,,02,Friedrichshain-Kreuzberg,316,,3,83,W,1220,1089,131,0,520,5,16,504,319,185
02W317,,02,Friedrichshain-Kreuzberg,317,,3,83,W,903,729,174,0,382,4,13,369,218,151
02W318,,02,Friedrichshain-Kreuzberg,318,,3,83,W,1190,956,234,0,590,10,27,563,282,281
02W319,,02,Friedrichshain-Kreuzberg,319,,3,83,W,1251,960,291,0,664,7,22,642,243,399
02W320,,02,Friedrichshain-Kreuzberg,320,,3,83,W,1559,1186,373,0,829,16,31,798,351,447
02W321,,02,Friedrichshain-Kreuzberg,321,,3,83,W,1460,1184,276,0,652,9,31,621,286,335
02W322,,02,Friedrichshain-Kreuzberg,322,,3,83,W,1362,983,379,0,736,9,24,712,289,423
02W323,,02,Friedrichshain-Kreuzberg,323,,3,83,W,1351,955,396,0,696,9,29,667,271,396
02W324,,02,Friedrichshain-Kreuzberg,324,,3,83,W,1258,946,312,0,624,8,25,599,306,293
02W325,,02,Friedrichshain-Kreuzberg,325,,3,83,W,1023,782,241,0,521,6,22,499,197,302
02W401,,02,Friedrichshain-Kreuzberg,401,,4,83,O,1181,810,371,0,591,8,12,579,292,287
02W402,,02,Friedrichshain-Kreuzberg,402,,4,83,O,1118,858,260,0,522,2,12,510,257,253
