id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_die_partei,party_freie_wähler,party_ödp,party_büso,party_mlpd,party_sgp,party_b,party_bge,party_dib,party_dkp,party_dm,party_die_grauen,party_du,party_menschliche_welt,party_gesundheitsforschung,party_tierschutzpartei,party_v_partei3,party_die_frauen,individual_applicant_für_dich_im_bundestag,individual_applicant_grog,individual_applicant_grundeinkommen_für_alle.org_1,individual_applicant_grundeinkommen_für_alle.org_2,individual_applicant_ideengeber_mensch_natur_technik,individual_applicant_liberal_nachhaltig_sozial_weltoffen,individual_applicant_den_menschen_verpflichtet_keiner_partei,party_mieterpartei,party_npd,individual_applicant,individual_applicant_parteifrei_für_die_menschen,individual_applicant_parteifrei_und_bürgerbestimmt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01319,01,319,1007,631,376,0,476,3,2,474,93,94,74,98,36,0,57,10,0,0,0,1,0,0,1,2,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26911618669315,0.42016806722689076,99.57983193277312
01320,01,320,599,385,214,0,322,4,3,319,65,65,40,73,28,1,43,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.756260434056756,0.9316770186335404,99.06832298136646
01321,01,321,1020,672,348,0,477,3,6,471,116,108,57,73,40,2,62,6,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76470588235294,1.257861635220126,98.74213836477988
01322,01,322,1133,772,361,0,488,3,4,484,115,108,75,54,49,1,57,7,5,1,0,0,0,0,1,1,0,2,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.07149161518093,0.819672131147541,99.18032786885246
01323,01,323,1181,810,371,0,612,6,5,607,156,116,86,80,64,2,75,7,3,2,0,0,0,0,2,4,1,1,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.82049110922947,0.8169934640522877,99.18300653594771
01324,01,324,1603,1047,556,0,634,0,7,627,160,113,106,83,50,5,93,5,0,0,1,0,0,0,2,0,1,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.550842170929506,1.1041009463722398,98.89589905362776
01325,01,325,1001,763,238,0,403,0,8,395,74,89,84,62,33,3,36,6,2,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25974025974026,1.9851116625310175,98.01488833746899
01326,01,326,1194,845,349,0,595,0,5,590,114,110,133,101,39,3,60,9,2,0,0,1,0,0,3,4,2,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.83249581239531,0.8403361344537815,99.15966386554622
01327,01,327,1494,1059,435,0,703,14,1,702,124,116,148,171,29,5,57,17,0,0,0,0,0,0,12,5,0,2,2,2,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.054886211512716,0.1422475106685633,99.85775248933145
013A,01,3A,0,0,0,0,1256,1256,12,1244,222,230,238,280,57,6,121,36,3,1,1,0,0,1,6,15,0,4,1,2,1,1,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.9554140127388535,99.04458598726114
