address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_meschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,aufn,partial_election_repetition
01W221,Erststimme,01,Mitte,221,W,012K,2,75,O,1468,759,709,0,551,14,544,7,84,43,122,145,39,73,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,0,0,0,0,0,0,0,0,0,0,1,0,0,,
01W222,Erststimme,01,Mitte,222,W,012K,2,75,O,854,531,323,0,343,4,332,11,38,70,100,60,22,16,4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W223,Erststimme,01,Mitte,223,W,012L,2,75,O,1546,795,751,0,609,15,600,9,84,107,164,139,33,46,7,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W224,Erststimme,01,Mitte,224,W,012M,2,75,O,1294,748,546,0,496,10,490,6,65,118,127,67,46,23,10,15,6,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W225,Erststimme,01,Mitte,225,W,012M,2,75,O,1349,686,663,0,451,5,441,10,66,74,121,78,41,25,14,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,,
01W226,Erststimme,01,Mitte,226,W,012J,2,75,O,723,438,285,0,253,6,250,3,30,59,48,41,32,15,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W227,Erststimme,01,Mitte,227,W,012N,2,75,O,1482,1028,454,0,377,9,376,1,55,69,61,121,29,11,13,2,6,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,Teilwiederholungswahl 2024
01W228,Erststimme,01,Mitte,228,W,012L,2,75,O,1219,593,626,0,435,15,430,5,72,43,123,101,27,36,4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W229,Erststimme,01,Mitte,229,W,012N,2,75,O,1064,741,323,0,305,7,302,3,55,47,50,103,20,4,11,2,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Teilwiederholungswahl 2024
01W300,Erststimme,01,Mitte,300,W,013A,3,75,W,1216,807,409,0,476,12,464,12,39,68,96,150,24,34,18,11,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,10,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W301,Erststimme,01,Mitte,301,W,013A,3,75,W,957,556,401,0,377,4,374,3,41,56,82,124,17,25,11,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,,
01W302,Erststimme,01,Mitte,302,W,013B,3,75,W,1147,798,349,0,490,11,470,20,55,77,92,132,35,35,11,10,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W303,Erststimme,01,Mitte,303,W,013B,3,75,W,905,594,311,0,356,12,351,5,38,49,106,101,21,17,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W304,Erststimme,01,Mitte,304,W,013B,3,75,W,907,589,318,0,426,7,407,19,51,53,99,135,21,32,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W305,Erststimme,01,Mitte,305,W,013C,3,75,W,1046,565,481,0,435,11,429,6,72,39,93,141,25,31,5,10,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W306,Erststimme,01,Mitte,306,W,013D,3,75,W,1338,743,595,0,582,18,569,13,50,67,142,227,17,28,5,1,6,0,0,0,1,0,0,0,2,0,0,0,0,1,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W307,Erststimme,01,Mitte,307,W,013C,3,75,W,1143,619,524,0,440,1,434,6,81,24,110,134,21,35,6,10,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W308,Erststimme,01,Mitte,308,W,013D,3,75,W,1159,596,563,0,458,17,451,7,47,43,84,198,22,30,8,6,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W309,Erststimme,01,Mitte,309,W,013E,3,75,W,1263,696,567,0,564,21,560,4,67,65,120,242,16,23,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W310,Erststimme,01,Mitte,310,W,013E,3,75,W,936,514,422,0,359,5,351,8,47,44,87,125,16,19,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W311,Erststimme,01,Mitte,311,W,013F,3,75,W,1034,507,527,0,399,4,394,5,35,46,104,142,16,21,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W312,Erststimme,01,Mitte,312,W,013F,3,75,W,786,433,353,0,322,5,319,3,39,37,74,130,10,9,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W313,Erststimme,01,Mitte,313,W,013F,3,75,W,846,448,398,0,340,9,332,8,51,27,87,123,15,17,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W314,Erststimme,01,Mitte,314,W,013G,3,75,W,1063,835,228,0,273,0,269,4,71,28,46,70,29,8,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,Teilwiederholungswahl 2024
01W315,Erststimme,01,Mitte,315,W,013G,3,75,W,782,611,171,0,211,1,209,2,33,21,34,91,13,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W316,Erststimme,01,Mitte,316,W,013H,3,75,W,1300,1078,222,0,299,7,294,5,76,36,50,42,55,14,4,12,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W317,Erststimme,01,Mitte,317,W,013I,3,75,W,882,552,330,0,377,14,370,7,52,38,80,127,10,29,8,12,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W318,Erststimme,01,Mitte,318,W,013I,3,75,W,1070,598,472,0,444,15,428,16,74,40,111,125,26,35,2,7,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W319,Erststimme,01,Mitte,319,W,013I,3,75,W,1004,530,474,0,374,7,368,6,68,20,99,115,20,24,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W320,Erststimme,01,Mitte,320,W,013J,3,75,W,581,338,243,0,272,4,266,6,50,17,61,94,11,21,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W321,Erststimme,01,Mitte,321,W,013J,3,75,W,1082,627,455,0,426,9,417,9,93,42,108,82,26,50,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W322,Erststimme,01,Mitte,322,W,013J,3,75,W,1096,666,430,0,396,12,385,11,79,33,109,59,26,48,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W323,Erststimme,01,Mitte,323,W,013H,3,75,W,1139,834,305,0,332,6,328,4,96,23,66,71,37,17,4,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,Teilwiederholungswahl 2024
01W324,Erststimme,01,Mitte,324,W,013K,3,75,W,1493,847,646,0,497,9,486,11,117,45,119,94,21,75,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W325,Erststimme,01,Mitte,325,W,013L,3,75,W,1034,684,350,0,398,14,393,5,69,51,102,98,20,40,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,,
01W326,Erststimme,01,Mitte,326,W,013L,3,75,W,1399,861,538,0,576,21,564,12,76,60,156,171,29,38,9,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W327,Erststimme,01,Mitte,327,W,013K,3,75,W,1495,905,590,0,588,20,575,13,60,69,135,222,22,42,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
